sanctions_clean,detected_crime_type,confidence_scores,keyword_verdict,agreement
"abuso sexual gravemente ultrajante, calificado por el vinculo y la convivencia preexistente.",assault,0.9963,Unknown,SKIP
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
"preliminary threat and extortion by organized group, repeated threat and extortion,threat and extortion with the view of getting property in significant size, repeated illegal misappropriation of computer materials and illegal misappropriation of computer materials by organized group or by criminal organization",cyber crime,0.7621,assault,DISAGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
"misappropriation, embezzlement, swindling, exceeding of official powers, and abuse of official powers",financial crime,0.9713,financial crime,AGREE
"criminal conspiracy, waging or attempting to wage war, collecting arms with the intention of waging war against the government of india, concealing with intent to facilitate design to wage war, attempted robbery, arms act.",weapons,0.8665,assault,DISAGREE
"homicidio, lesiones graves y portación ilegal de arma de fuego de uso civil en concurso real",homicide,0.9986,homicide,AGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
involvement of a person in the commission of crimes of terrorist nature or otherwise assisting in their commission,terrorism,0.9495,terrorism,AGREE
"""participation in activity of such organization

participation in illegal armed formation""",weapons,0.5805,assault,DISAGREE
participation in an armed formation,weapons,0.989,assault,DISAGREE
organizaciones terroristas,terrorism,0.9792,terrorism,AGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
"""participation in the activity of the terrorist organization; 
participation in an illegal armed formation.""",terrorism,0.9822,terrorism,AGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
participation in illegal armed formation.,weapons,0.9469,assault,DISAGREE
"death, attempt to murder, causing disappearance of evidence of offence, mischief by fire or explosive substance with intent to destroy house, making or possessing counterfeit seal, acts done by several persons in furtherance of common intention (criminal act). imprisonment, criminal conspiracy and explosive substances act 1908.",Unknown,0.3438,homicide,DISAGREE
homicidio agravado,homicide,0.9861,homicide,AGREE
large-scale misappropriation by fraud,financial crime,0.9846,financial crime,AGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
"participation in an illegal armed formation, getting trained with the aim of terrorist activity",terrorism,0.9836,terrorism,AGREE
together defrauding people borrowing money which defrauds the public. bring into the system a false statement in a manner that is likely to cause damage to the public.,financial crime,0.9909,financial crime,AGREE
organizaciones terroristas,terrorism,0.9792,terrorism,AGREE
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
organizaciones terroristas y homicidio agravado,homicide,0.9887,terrorism,DISAGREE
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
homicidio agravado por el vinculo y por perpetrarse por un hombre contra una mujer y mediando violencia de genero,homicide,0.9992,homicide,AGREE
"""(1) organizing of criminal community;  ( 2) murder committed by organized group;  
(3) illegal acquisition, transfer, sale, storage, transportation and bearing of firearms, its basic parts, ammunition, explosives and explosive devices""",homicide,0.9641,weapons,DISAGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
"""particpation in an illegal armed formation; participation
participation in the activity of a terrorist organization""",terrorism,0.9759,terrorism,AGREE
"participation in an illegal armed formation, illegal firearms possession, encroachment on the life of an officer of a law-enforcement agency",weapons,0.9705,weapons,AGREE
"organizaciones terroristas, feminicidio y extorsion",terrorism,0.9803,terrorism,AGREE
rapiña especialmente agravada por el uso de armas en calidad de co autor y asociación para delinquir en calidad de autores,weapons,0.9914,Unknown,SKIP
participation in illegal armed formation.,weapons,0.9469,assault,DISAGREE
"""desaparición forzada agravada y homicidio en persona protegida - articulo 162.  - reclutamiento ilícito 
articulo 135-6 - homicidio en persona protegida 
articulo 165 y 166 causal 3 - desaparición forzada agravada por la menor edad de la víctima - reclutamiento ilícito
homicidio en persona protegida
desaparición forzada - reclutamiento ilícito (art. 162)
homicidio en persona protegida (art.135-6)
 desaparición forzada agravada por la menor edad de la víctima (art.165 y art. 166 causal 3)""",homicide,0.9603,homicide,AGREE
agrupaciones ilicitas,terrorism,0.8503,Unknown,SKIP
participation in the activity of a terrorist organization,terrorism,0.9875,terrorism,AGREE
organizaciones terroristas,terrorism,0.9792,terrorism,AGREE
"""participation in the activity of a terrorist organization; participation in an illegal arned formation""",terrorism,0.9669,terrorism,AGREE
"participation in the activity of a terrorist organization, participation in illegal armed formation",terrorism,0.9851,terrorism,AGREE
"""organization of activity of the terrorist organization and participation in activity of such organization; participation in the illegal armed formations.""",terrorism,0.9712,terrorism,AGREE
"""participation in an illegal armed formation, 
contributing to terrorist activity, public calls for committing of terrorist activity or public justification of terrorism, participation in terrorist organization.""",terrorism,0.9098,terrorism,AGREE
participation in the activity of a terrorist organization,terrorism,0.9875,terrorism,AGREE
"actos preparatorios, proposicion, conspiracion y asociaciones delictivas",Unknown,0.1099,Unknown,AGREE
"""murder; attempted murder""",homicide,0.9623,homicide,AGREE
"""participation in illegal armed fromation; participation in terrorist organization""",terrorism,0.9852,terrorism,AGREE
premeditated murder based on mercenary motives committed by a group of persons upon prior conspiracy,homicide,0.9861,homicide,AGREE
"conspiración, asociación ilícita, comercio, tráfico y almacenamiento ilícito, asociación delictiva.",Unknown,0.4702,Unknown,AGREE
assistance in financing of terrorism by means of providing information (2 episodes),terrorism,0.9607,terrorism,AGREE
agravatted roberry.,assault,0.9906,Unknown,SKIP
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
"""participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation""",terrorism,0.9858,terrorism,AGREE
participation in an illegal armed formation,weapons,0.9567,assault,DISAGREE
participation in an armed formation on the territory of the foreign state that is not provided for by a federal law of this state,weapons,0.8912,assault,DISAGREE
drug smuggling,narcotics,0.9954,narcotics,AGREE
"""(1) illegally crossing the russian federation state border;  
(2) banditry;  
(3) smuggling;  
(4) murderous assault on law-enforcement officer;  
(5) terrorism;  
(6) murder;  
(7) illegal possession, transportation and storage of firearms""",weapons,0.9665,weapons,AGREE
participation in illegal armed formation,weapons,0.9595,assault,DISAGREE
"""violating the narcotic drugs act (law of 12 february 1998 laying down the law on narcotic drugs, as it reads after amendments made to it)
participation in criminal organization (art.188 surinamese criminal code)""",narcotics,0.9828,narcotics,AGREE
"""rape;sexual assault""",assault,0.9908,assault,AGREE
organizaciones terroristas,terrorism,0.9792,terrorism,AGREE
first degree murder,homicide,0.995,homicide,AGREE
participation in the activity of an illegal armed formation,weapons,0.9074,assault,DISAGREE
"""participation in the activity of an illegal armed formation; public appeals for extremist activity with use of mass media or internet""",weapons,0.6047,terrorism,DISAGREE
participation in organization which is recognized as terrorist in accordance with the legislation of russian federation.,terrorism,0.9931,terrorism,AGREE
smuggling and trafficking in drugs,narcotics,0.9855,narcotics,AGREE
"""agrupaciones ilicitas; homicidio agravado y disparos de arma de fuego.""",weapons,0.9911,homicide,DISAGREE
participation in the activity of an illegal armed formation,weapons,0.9074,assault,DISAGREE
agrupaciones ilícitas,Unknown,0.3535,Unknown,AGREE
"intentional infliction of a grave injuries, human trafficking.",Unknown,0.1792,narcotics,DISAGREE
"""murder

unlawful occupancy of a car or of any other transport vehicle, without the purpose of stealing (hijacking) committed by group of persons on preliminary agreement""",homicide,0.9674,homicide,AGREE
injury causing death/manslaughter/murder,homicide,0.9874,homicide,AGREE
